target,q1,q3,lower_bound,upper_bound,outliers_count,outliers_share
"IC50, mM",12.51539592355676,224.9759275757494,-306.1754015547322,543.6667250540384,147,0.14685314685314685
"CC50, mM",99.9990355031298,894.0891764544597,-1091.136175923865,2085.2243878814543,39,0.03896103896103896
SI,1.433333333333333,16.56666666666667,-21.26666666666667,39.26666666666667,125,0.12487512487512488
