SI_исходный,SI_расчётный,разница
28.125,28.12500000000001,1.0658141036401503e-14
7.000000000000001,7.000000000000001,0.0
0.72,0.7200000000000002,2.220446049250313e-16
63.23529411764706,63.235294117647065,7.105427357601002e-15
1.3,1.2999999999999996,4.440892098500626e-16
2.0,1.9999999999999996,4.440892098500626e-16
0.7700000000000001,0.7699999999999999,2.220446049250313e-16
0.82,0.8199999999999998,1.1102230246251565e-16
3.070680628272251,3.0706806282722505,4.440892098500626e-16
62.63333333333334,62.63333333333333,7.105427357601002e-15
7.857142857142859,7.857142857142857,2.6645352591003757e-15
1.664335664335664,1.6643356643356642,2.220446049250313e-16
3.045685279187818,3.0456852791878175,4.440892098500626e-16
5.111111111111111,5.111111111111111,0.0
7.431818181818182,7.431818181818182,0.0
1.0,1.0,0.0
3.23076923076923,3.230769230769231,8.881784197001252e-16
28.73563218390805,28.73563218390805,0.0
1.0,1.0,0.0
4.422680412371134,4.422680412371134,0.0
0.8061002178649236,0.8061002178649237,1.1102230246251565e-16
10.52380952380952,10.523809523809524,3.552713678800501e-15
17.12328767123288,17.123287671232873,7.105427357601002e-15
2.423052959501558,2.4230529595015584,4.440892098500626e-16
0.9798157946306093,0.9798157946306086,6.661338147750939e-16
1.0,1.0,0.0
1.794117647058824,1.7941176470588238,2.220446049250313e-16
1.551,1.5510000000000002,2.220446049250313e-16
1.488095238095238,1.4880952380952388,8.881784197001252e-16
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
8.857142857142858,8.857142857142854,3.552713678800501e-15
5.238095238095238,5.238095238095238,0.0
3.266666666666667,3.266666666666666,8.881784197001252e-16
5.074074074074074,5.074074074074075,8.881784197001252e-16
3.0,3.0,0.0
6.909090909090908,6.909090909090908,0.0
13.33333333333333,13.33333333333333,0.0
13.52941176470589,13.529411764705882,7.105427357601002e-15
6.692307692307691,6.692307692307693,2.6645352591003757e-15
89.13793103448276,89.13793103448279,2.842170943040401e-14
30.3125,30.312499999999996,3.552713678800501e-15
16.1,16.100000000000005,3.552713678800501e-15
54.94505494505496,54.94505494505498,1.4210854715202004e-14
3.048780487804878,3.048780487804877,8.881784197001252e-16
2.857142857142857,2.8571428571428577,4.440892098500626e-16
49.24170616113744,49.24170616113744,0.0
25.79710144927536,25.797101449275356,3.552713678800501e-15
185.1851851851852,185.1851851851852,0.0
638.5714285714286,638.5714285714284,1.1368683772161603e-13
14.54545454545454,14.545454545454545,5.329070518200751e-15
60.24096385542169,60.240963855421704,1.4210854715202004e-14
3.629441624365482,3.6294416243654823,4.440892098500626e-16
19.37984496124031,19.37984496124031,0.0
12.63959390862945,12.639593908629443,7.105427357601002e-15
18.79699248120301,18.796992481203006,3.552713678800501e-15
3.125,3.1250000000000004,4.440892098500626e-16
1.0,1.0,0.0
98.03921568627452,98.03921568627452,0.0
3.575221238938053,3.575221238938052,8.881784197001252e-16
151.5151515151515,151.51515151515153,2.842170943040401e-14
5.407407407407407,5.407407407407407,0.0
0.83,0.8299999999999998,1.1102230246251565e-16
8.28125,8.28125,0.0
1.909090909090909,1.9090909090909092,2.220446049250313e-16
0.8545454545454545,0.8545454545454547,2.220446049250313e-16
0.9090909090909093,0.9090909090909093,0.0
1.33030303030303,1.33030303030303,0.0
1.36060606060606,1.3606060606060604,4.440892098500626e-16
34.73684210526316,34.736842105263165,7.105427357601002e-15
2.336363636363636,2.3363636363636364,4.440892098500626e-16
4.086206896551724,4.086206896551724,0.0
1.0,1.0,0.0
1.0,1.0,0.0
3.194444444444445,3.1944444444444438,1.3322676295501878e-15
1.4,1.4,0.0
1.0,1.0,0.0
1.0,1.0,0.0
74.62686567164178,74.62686567164178,0.0
1.0,1.0,0.0
34.4622641509434,34.462264150943405,7.105427357601002e-15
555.5555555555555,555.5555555555554,1.1368683772161603e-13
30.3030303030303,30.303030303030308,7.105427357601002e-15
30.3030303030303,30.303030303030308,7.105427357601002e-15
499.9999999999999,499.9999999999999,0.0
100.0,100.0,0.0
1.492537313432836,1.4925373134328355,4.440892098500626e-16
1.492537313432836,1.4925373134328355,4.440892098500626e-16
4.830917874396135,4.830917874396135,0.0
27.22068965517241,27.220689655172414,3.552713678800501e-15
41.70408163265306,41.704081632653065,7.105427357601002e-15
34.08666666666667,34.086666666666666,7.105427357601002e-15
24.11764705882353,24.11764705882353,0.0
37.69230769230769,37.69230769230769,0.0
37.69230769230769,37.69230769230769,0.0
24.98692810457517,24.98692810457517,0.0
30.67484662576687,30.67484662576687,0.0
33.06557377049181,33.06557377049181,0.0
3.969565217391304,3.969565217391305,1.3322676295501878e-15
1.995211492418197,1.9952114924181965,4.440892098500626e-16
1.0,1.0,0.0
18.31501831501831,18.315018315018314,3.552713678800501e-15
18.31501831501831,18.315018315018314,3.552713678800501e-15
28.02325581395349,28.023255813953487,3.552713678800501e-15
32.46753246753246,32.467532467532465,7.105427357601002e-15
13.81215469613259,13.812154696132593,3.552713678800501e-15
13.81215469613259,13.812154696132593,3.552713678800501e-15
11.93317422434368,11.933174224343677,3.552713678800501e-15
500.0000000000001,500.0,1.1368683772161603e-13
5000.0,5000.0,0.0
25.0,24.999999999999993,7.105427357601002e-15
128.2051282051282,128.20512820512826,5.684341886080802e-14
32.95,32.949999999999996,7.105427357601002e-15
113.6363636363636,113.6363636363636,0.0
357.1428571428572,357.14285714285717,5.684341886080802e-14
21.44117647058824,21.441176470588236,3.552713678800501e-15
88.57142857142857,88.57142857142857,0.0
131.5789473684211,131.5789473684211,0.0
2.814159292035398,2.814159292035398,0.0
7.142857142857144,7.142857142857144,0.0
277.7777777777777,277.7777777777777,0.0
24.73684210526316,24.736842105263158,3.552713678800501e-15
185.3846153846154,185.3846153846154,0.0
24.14285714285714,24.14285714285714,0.0
91.42857142857144,91.42857142857144,0.0
34.19753086419752,34.19753086419754,2.1316282072803006e-14
42.73504273504274,42.73504273504274,0.0
99.99999999999999,99.99999999999999,0.0
20.83333333333333,20.83333333333333,0.0
6.243589743589745,6.2435897435897445,8.881784197001252e-16
220.7142857142858,220.71428571428575,5.684341886080802e-14
5.785714285714286,5.785714285714285,8.881784197001252e-16
2.534090909090909,2.5340909090909096,4.440892098500626e-16
3.846153846153846,3.8461538461538463,4.440892098500626e-16
0.4996666666666666,0.49966666666666665,5.551115123125783e-17
1.423333333333333,1.4233333333333338,8.881784197001252e-16
1.0,1.0,0.0
1.323333333333333,1.3233333333333335,4.440892098500626e-16
16.375,16.375,0.0
1.83,1.8300000000000003,2.220446049250313e-16
1.225,1.225,0.0
1.06,1.0600000000000003,2.220446049250313e-16
5.468750000000001,5.4687500000000036,2.6645352591003757e-15
25.0,25.0,0.0
9.740259740259742,9.740259740259738,3.552713678800501e-15
2.14,2.14,0.0
1.0,1.0,0.0
3.225806451612903,3.2258064516129044,1.3322676295501878e-15
2.156666666666667,2.1566666666666654,1.7763568394002505e-15
2.133333333333333,2.1333333333333337,8.881784197001252e-16
2.102228047182176,2.1022280471821753,8.881784197001252e-16
1.626415094339623,1.6264150943396225,4.440892098500626e-16
2.068965517241379,2.0689655172413803,1.3322676295501878e-15
1.833333333333334,1.8333333333333337,2.220446049250313e-16
3.542857142857143,3.542857142857142,1.3322676295501878e-15
24.58823529411765,24.58823529411765,0.0
19.0,18.999999999999996,3.552713678800501e-15
312.5,312.5,0.0
36.16666666666666,36.166666666666664,7.105427357601002e-15
8.0,8.0,0.0
125.0,124.99999999999997,2.842170943040401e-14
56.66666666666667,56.66666666666668,7.105427357601002e-15
166.6666666666667,166.66666666666666,5.684341886080802e-14
37.44186046511628,37.4418604651163,2.1316282072803006e-14
42.5,42.5,0.0
109.4117647058823,109.41176470588235,4.263256414560601e-14
499.9999999999999,499.9999999999999,0.0
15.75,15.749999999999998,1.7763568394002505e-15
15.75,15.749999999999998,1.7763568394002505e-15
42.73504273504274,42.735042735042725,1.4210854715202004e-14
1.944444444444444,1.9444444444444435,4.440892098500626e-16
1.944444444444444,1.9444444444444435,4.440892098500626e-16
71.42857142857142,71.42857142857142,0.0
50.0,50.0,0.0
3.476190476190477,3.4761904761904776,4.440892098500626e-16
4.583333333333334,4.583333333333335,8.881784197001252e-16
0.7999999999999999,0.7999999999999999,0.0
6.666666666666667,6.666666666666667,0.0
18.08510638297872,18.085106382978722,3.552713678800501e-15
1562.5,1562.5,0.0
32.74074074074074,32.74074074074074,0.0
5.470588235294117,5.470588235294115,1.7763568394002505e-15
10.60606060606061,10.606060606060609,1.7763568394002505e-15
24.20454545454545,24.204545454545453,3.552713678800501e-15
13.33333333333333,13.33333333333333,0.0
4.76923076923077,4.769230769230769,8.881784197001252e-16
4.359999999999999,4.359999999999999,0.0
3.0,2.9999999999999987,1.3322676295501878e-15
208.3333333333334,208.3333333333334,0.0
202.5,202.49999999999997,2.842170943040401e-14
81.50000000000001,81.50000000000001,0.0
7.428571428571428,7.428571428571428,0.0
19.37984496124031,19.379844961240313,3.552713678800501e-15
2.941176470588236,2.9411764705882346,1.3322676295501878e-15
25.43103448275862,25.431034482758623,3.552713678800501e-15
61.22448979591837,61.224489795918366,7.105427357601002e-15
13.21428571428571,13.214285714285712,1.7763568394002505e-15
1.6375,1.6375000000000002,2.220446049250313e-16
1.693333333333333,1.6933333333333331,2.220446049250313e-16
23.25581395348837,23.25581395348838,1.0658141036401503e-14
35.71428571428571,35.7142857142857,7.105427357601002e-15
1.0,1.0,0.0
10.0,10.0,0.0
1.46,1.46,0.0
1.323333333333333,1.3233333333333328,2.220446049250313e-16
5.416666666666665,5.416666666666664,8.881784197001252e-16
106.8181818181818,106.81818181818184,4.263256414560601e-14
1.0,1.0,0.0
2.515151515151516,2.515151515151515,8.881784197001252e-16
3.0,3.000000000000001,8.881784197001252e-16
55.55555555555556,55.55555555555556,0.0
37.03703703703704,37.03703703703703,7.105427357601002e-15
4.548672566371681,4.548672566371681,0.0
7.7,7.7,0.0
1.679,1.6790000000000005,4.440892098500626e-16
3.239999999999999,3.24,1.3322676295501878e-15
0.91,0.9099999999999998,2.220446049250313e-16
6.78688524590164,6.78688524590164,0.0
13.55084745762712,13.55084745762712,0.0
