,count,mean,std,min,25%,50%,75%,max,skew,kurtosis
"IC50, mM",1001.0,222.8051558775471,402.1697344150823,0.003516693745208505,12.51539592355676,46.58518345980803,224.9759275757494,4128.529376550779,3.6749287376081887,22.4502661297154
"CC50, mM",1001.0,589.1107281034963,642.8675083277841,0.700807912518016,99.9990355031298,411.0393423370522,894.0891764544597,4538.976188530915,1.9733329493025114,5.67944775700633
SI,1001.0,72.50882295260993,684.4827388099509,0.01148926945588554,1.433333333333333,3.846153846153846,16.56666666666667,15620.6,18.01320157181422,361.4166958814977
